env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb,significant_hb_seed_level
Tiger,Success,Planning,InfoGain,0.9944,"[0.992, 0.996]",0.8532,"[0.844, 0.863]",0.1412,0.5520416486438476,27.60208243219238,1.0909412985791284e-161,5,6.491505122897247e-08,21.659091285049737,True,True
Tiger,Success,Planning,InfoGain-Tuned,0.9944,"[0.992, 0.996]",0.9944,"[0.992, 0.996]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
Tiger,Success,Planning,Planning+IG,0.9944,"[0.992, 0.996]",0.9988,"[0.998, 1.000]",-0.0044000000000000705,-0.07563446417904787,-3.7817232089523936,0.00015665374336899617,5,0.07002218820222395,-1.4666666666666888,True,False
Tiger,Success,Planning,EpistemicOnly,0.9944,"[0.992, 0.996]",0.4972,"[0.483, 0.511]",0.4972,1.3907708021541556,69.53854010770779,0.0,5,3.9826001010937954e-07,32.22868913501359,True,True
Tiger,Success,Planning,EFE,0.9944,"[0.992, 0.996]",0.9944,"[0.992, 0.996]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
Tiger,Success,Planning,Thompson,0.9944,"[0.992, 0.996]",0.9676,"[0.963, 0.972]",0.026799999999999935,0.19723414388813965,9.861707194406984,7.753452201984915e-23,5,0.00023365578342516332,4.679482981656178,True,True
Tiger,Success,Planning,PyMDP-AIF,0.9944,"[0.992, 0.996]",0.9676,"[0.963, 0.972]",0.026799999999999935,0.19723414388813965,9.861707194406984,7.753452201984915e-23,5,0.00023365578342516332,4.679482981656178,True,True
Tiger,Success,InfoGain,InfoGain-Tuned,0.8532,"[0.844, 0.863]",0.9944,"[0.992, 0.996]",-0.1412,-0.5520416486438476,-27.60208243219238,1.0909412985791284e-161,5,6.491505122897247e-08,-21.659091285049737,True,True
Tiger,Success,InfoGain,Planning+IG,0.8532,"[0.844, 0.863]",0.9988,"[0.998, 1.000]",-0.14560000000000006,-0.5789971249173935,-28.94985624586967,4.943261558570367e-177,5,1.586955280298002e-06,-24.54087499366202,True,True
Tiger,Success,InfoGain,EpistemicOnly,0.8532,"[0.844, 0.863]",0.4972,"[0.483, 0.511]",0.356,0.8217995276191828,41.08997638095915,0.0,5,2.547536516470199e-07,21.901990756358117,True,True
Tiger,Success,InfoGain,EFE,0.8532,"[0.844, 0.863]",0.9944,"[0.992, 0.996]",-0.1412,-0.5520416486438476,-27.60208243219238,1.0909412985791284e-161,5,6.491505122897247e-08,-21.659091285049737,True,True
Tiger,Success,InfoGain,Thompson,0.8532,"[0.844, 0.863]",0.9676,"[0.963, 0.972]",-0.11440000000000006,-0.4087913613491184,-20.439568067455923,5.304064178176081e-91,5,1.6083416789420145e-08,-14.893611416206245,True,True
Tiger,Success,InfoGain,PyMDP-AIF,0.8532,"[0.844, 0.863]",0.9676,"[0.963, 0.972]",-0.11440000000000006,-0.4087913613491184,-20.439568067455923,5.304064178176081e-91,5,1.6083416789420145e-08,-14.893611416206245,True,True
Tiger,Success,InfoGain-Tuned,Planning+IG,0.9944,"[0.992, 0.996]",0.9988,"[0.998, 1.000]",-0.0044000000000000705,-0.07563446417904787,-3.7817232089523936,0.00015665374336899617,5,0.07002218820222395,-1.4666666666666888,True,False
